RadID;"Lokalitet	";"PrøveID	";KontekstID;Kontekst-beskrivelse;"Lab.-nr.	";14C-BP.;Kalibrert alder (2 sigma);Delta 13C;Øst_UTM32_ETRS89;Nord_UTM32_ETRS89;
127;"Anders Madsens gate	";"1224	";L24411;Dyrkingslag;"Beta-418506	";"930 ± 30	";"1032 – 1203 evt.	";"-26.2	";580157;6570890;Halvorsen, Sunniva Wilberg (2019). Arkeologisk utgravning i Anders Madsens gate 1, Tønsberg. NIKU Oppdragsrapport 1/2016. Norsk institutt for kulturminneforskning (NIKU).
128;"Anders Madsens gate	";"PA24440	";L4748/ST4749;Gjerde;"UBA-31480	";"1071 ± 49	";"774 – 1121 evt.	";"	";580156;6570902;Halvorsen, Sunniva Wilberg (2019). Arkeologisk utgravning i Anders Madsens gate 1, Tønsberg. NIKU Oppdragsrapport 1/2016. Norsk institutt for kulturminneforskning (NIKU).
129;"Anders Madsens gate	";"PA4754	";L10946;Staur;"UBA-31471	";"974 ± 31	";"998 – 1159 evt.	";"	";580147;6570879;Halvorsen, Sunniva Wilberg (2019). Arkeologisk utgravning i Anders Madsens gate 1, Tønsberg. NIKU Oppdragsrapport 1/2016. Norsk institutt for kulturminneforskning (NIKU).
130;"Anders Madsens gate	";"PK10970	";L14919;Trebrolegging;"UBA-31472	";"740 ± 26	";"1228 – 1297 evt.	";"	";580135;6570869;Halvorsen, Sunniva Wilberg (2019). Arkeologisk utgravning i Anders Madsens gate 1, Tønsberg. NIKU Oppdragsrapport 1/2016. Norsk institutt for kulturminneforskning (NIKU).
131;"Anders Madsens gate	";"PK14960	";L15621;Trebrolegging;"UBA-31473	";"905 ± 44	";"1035 – 1220 evt.	";"	";580140;6570865;Halvorsen, Sunniva Wilberg (2019). Arkeologisk utgravning i Anders Madsens gate 1, Tønsberg. NIKU Oppdragsrapport 1/2016. Norsk institutt for kulturminneforskning (NIKU).
132;"Anders Madsens gate	";"PK15648	";L18055;Trebrolegging;"UBA-31474	";"924 ± 39	";"1033 – 1211 evt.	";"	";580135;6570869;Halvorsen, Sunniva Wilberg (2019). Arkeologisk utgravning i Anders Madsens gate 1, Tønsberg. NIKU Oppdragsrapport 1/2016. Norsk institutt for kulturminneforskning (NIKU).
133;"Anders Madsens gate	";"PK18102	";L20428;Ildsted;"UBA-31475	";"940 ± 43	";"1025 – 1210 evt.	";"	";580141;6570883;Halvorsen, Sunniva Wilberg (2019). Arkeologisk utgravning i Anders Madsens gate 1, Tønsberg. NIKU Oppdragsrapport 1/2016. Norsk institutt for kulturminneforskning (NIKU).
134;"Anders Madsens gate	";"PV20459	";L4;Bygning;"UBA-31477	";"883 ± 28	";"1045 – 1225 evt.	";"	";580139;6570886;Halvorsen, Sunniva Wilberg og Lars Haugesten (2019). Arkeologisk utgravning i Anders Madsens gate 1, Tønsberg. NIKU Oppdragsrapport 1/2016. Norsk institutt for kulturminneforskning (NIKU).
226;"Anders Madsens gate	";"	";L1223;Trebrolegging;"FTMC-BE28-1	";"992 ± 30	";"993 – 1155 evt.	";"	";580043;6570775;Haugesten, Lars (2023). Forenklet rapport Anders Madsens gate vannlekkasje hastesak. Norsk institutt for kulturminneforskning (NIKU).
176;"Anders Madsens gate 3	";"PA1645	";SL1588;Brannlag;"Beta-484354	";"760 ± 30	";"1222 – 1285 evt.	";"-26.1	";580127;6570848;Haugesten, Lars og Gorm Seljeset (2021). Anders Madsens gate 3, Tonsberg. Arkeologisk utgravning i forbindelse med nedkjørsel til ny parkeringskjeller. NIKU 113/2018. Norsk institutt for kulturminneforskning (NIKU).
