WKT,fid,sone,lokalitet,struktur_id,struktur_navn,funksjonskode,byverdi,bruksverdi,areal_m2,ET_1 (600–1100 evt.),ET_2 (1100–1200 evt.),ET_3 (1200–1300 evt.),ET_4 (1300–1400 evt.),ET_5 (1400–1500 evt.),ET_6 (1500–1537 evt.),utgravningsfase,utgravningsfase_fra (evt.),utgravningsfase_til (evt.),C14_samlet,C14_labid_1,C14_labid_2,C14_labid_3,C14_labid_4,utgravd_år,utgravd_av,utgravd_areal_m2,tbg_kode,niku_prosjektnummer,c_nr,kilde
"MULTIPOLYGON (((580218.402174909 6570854.97386933,580221.003490419 6570857.21389102,580223.388029636 6570854.75709303,580221.364784239 6570852.92172043,580218.402174909 6570854.97386933)))",146,NØ,Baglergaten 2/4,"303",,31,Sivile konstruksjoner,Bygning,10.67,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580208.907373302 6570865.87049095,580209.760026717 6570866.43410932,580210.395903842 6570865.53810065,580209.557702179 6570864.97448229,580208.907373302 6570865.87049095)))",147,NØ,Baglergaten 2/4,"25",,35,Sivile konstruksjoner,Brønn,1.12,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580221.249170216 6570870.86357156,580220.598841339 6570871.15260662,580220.136385249 6570871.5283522,580218.633402954 6570873.5805011,580218.864631 6570873.68166337,580219.066955539 6570873.32036954,580219.948512462 6570872.25093984,580220.223095766 6570871.86074251,580220.569937833 6570871.51390044,580220.887876396 6570871.32602766,580221.364784239 6570871.06589611,580221.249170216 6570870.86357156)))",148,NØ,Baglergaten 2/4,"392",,32,Sivile konstruksjoner,Gjerde,0.95,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580199.1957954 6570870.06872516,580200.814391716 6570871.19596188,580203.675838777 6570867.26508511,580201.797110909 6570866.02223437,580198.415400748 6570868.39232183,580199.1957954 6570870.06872516)))",149,NØ,Baglergaten 2/4,74C,,31,Sivile konstruksjoner,Bygning,13.98,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580200.987812751 6570871.00808909,580204.441781677 6570873.58050109,580206.81186914 6570870.86357157,580203.097768663 6570868.05993152,580200.987812751 6570871.00808909)))",150,NØ,Baglergaten 2/4,"148",,31,Sivile konstruksjoner,Bygning,16.18,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580200.814391716 6570871.19596188,580201.551431111 6570872.05584117,580203.227834439 6570873.61663048,580204.383974665 6570874.85948122,580205.829149948 6570876.50698103,580206.754062129 6570877.66312127,580208.228140919 6570879.3684281,580208.835114537 6570880.23553327,580209.124149592 6570880.03320873,580208.34375494 6570878.96377902,580206.696255118 6570877.14285817,580205.308886847 6570875.46645483,580203.401255473 6570873.44320944,580200.886650482 6570871.10202547,580200.814391716 6570871.19596188)))",151,NØ,Baglergaten 2/4,190/129,,32,Sivile konstruksjoner,Gjerde,3.33,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580230.277060486 6570860.17442211,580229.462459617 6570859.29715963,580227.676603867 6570861.05168457,580226.392040957 6570861.92894705,580225.546109287 6570862.39890909,580224.950824036 6570862.11693187,580223.540937918 6570860.92636137,580221.911736181 6570859.20316722,580218.93530993 6570856.5713798,580217.932724245 6570855.3338131,580217.462762206 6570855.64712112,580218.340024679 6570856.41472578,580218.809986718 6570857.10400345,580220.157211233 6570858.48255876,580222.945652667 6570861.05168458,580224.606185208 6570862.71221711,580221.379112535 6570866.75389066,580220.873424643 6570867.38069913,580220.410968552 6570868.91258493,580219.312635337 6570870.63234352,580217.007580761 6570873.761148,580210.345322707 6570869.2305235,580203.880859258 6570864.69389038,580203.880859258 6570864.69389038,580212.058198749 6570870.8973893,580218.675854979 6570875.28942086,580219.059729663 6570875.06180575,580218.163720987 6570874.57044616,580217.556747369 6570874.07908656,580218.48165955 6570872.7206218,580220.165288754 6570870.83466806,580221.119104441 6570869.37504102,580222.099720996 6570867.03586788,580223.854245944 6570864.65472688,580224.950824036 6570863.37016398,580225.295462866 6570862.93153273,580226.172725341 6570862.5555631,580227.331965037 6570862.08560107,580230.277060486 6570860.17442211)))",152,NØ,Baglergaten 2/4,325/182/319/142,,36,Sivile konstruksjoner,Vannhåndtering,24.81,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580214.427590698 6570857.67187425,580212.579073343 6570861.14959334,580213.111696988 6570861.30624735,580213.863636251 6570861.14959334,580215.336183976 6570857.76586664,580214.427590698 6570857.67187425)))",153,NØ,Baglergaten 2/4,"289",,36,Sivile konstruksjoner,Vannhåndtering,3.94,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580228.908599216 6570861.19534892,580229.053116745 6570861.28205943,580229.255441283 6570861.16644542,580229.602283351 6570860.97857263,580230.035835937 6570860.92076561,580230.339322745 6570861.00747614,580230.440485015 6570860.87741036,580230.31041924 6570860.77624809,580229.717897374 6570860.74734458,580229.356603554 6570860.90631386,580228.908599216 6570861.19534892)))",154,NØ,Baglergaten 2/4,"586",,32,Sivile konstruksjoner,Gjerde,0.27,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580230.888489352 6570861.33986645,580230.440485015 6570861.36876996,580230.368226251 6570861.65780501,580230.888489354 6570862.40929616,580231.842305039 6570863.86892319,580232.20359886 6570864.21576525,580232.434826905 6570864.11460299,580232.593796187 6570863.53653288,580232.174695355 6570862.79949349,580230.888489352 6570861.33986645)))",155,NØ,Baglergaten 2/4,"610",,36,Sivile konstruksjoner,Vannhåndtering,2.38,0,0,1,0,0,0,4B,1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580200.814391716 6570871.19596188,580201.551431111 6570872.05584117,580203.227834439 6570873.61663048,580204.383974665 6570874.85948122,580205.829149948 6570876.50698103,580206.754062129 6570877.66312127,580208.228140919 6570879.3684281,580208.835114537 6570880.23553327,580209.124149592 6570880.03320873,580208.34375494 6570878.96377902,580206.696255118 6570877.14285817,580205.308886847 6570875.46645483,580203.401255473 6570873.44320944,580200.886650482 6570871.10202547,580200.814391716 6570871.19596188)))",156,NØ,Baglergaten 2/4,"190",,32,Sivile konstruksjoner,Gjerde,3.33,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580198.896825292 6570869.37937351,580200.614958487 6570870.7195174,580203.459130497 6570867.25681744,580201.793815514 6570866.0144396,580198.410318405 6570868.36702743,580198.896825292 6570869.37937351)))",157,NØ,Baglergaten 2/4,74B,,31,Sivile konstruksjoner,Bygning,11.77,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580202.001011101 6570865.97845328,580210.397666208 6570872.80856826,580216.074539469 6570876.56117512,580218.675854979 6570875.28942086,580212.058198749 6570870.8973893,580203.880859258 6570864.69389038,580202.001011101 6570865.97845328)))",158,NØ,Baglergaten 2/4,"146",,14,Transport,Passasje,43.27,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580208.907373302 6570865.87049095,580209.760026717 6570866.43410932,580210.395903842 6570865.53810065,580209.557702179 6570864.97448229,580208.907373302 6570865.87049095)))",159,NØ,Baglergaten 2/4,"25",,35,Sivile konstruksjoner,Brønn,1.12,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580211.68027094 6570875.04872066,580212.118902177 6570875.70666751,580212.902172242 6570875.14271306,580212.369548599 6570874.3907738,580211.68027094 6570875.04872066)))",160,NØ,Baglergaten 2/4,"19",,35,Sivile konstruksjoner,Brønn,0.82,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580209.441465409 6570864.86371607,580209.713298143 6570864.90553648,580209.964220668 6570864.27823018,580210.486975927 6570863.12816861,580210.967910764 6570862.24993978,580210.69607803 6570862.14538873,580210.256963613 6570862.98179713,580209.776028774 6570864.00639745,580209.441465409 6570864.86371607)))",161,NØ,Baglergaten 2/4,"187",,32,Sivile konstruksjoner,Gjerde,0.82,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580214.427590698 6570857.67187425,580212.579073343 6570861.14959334,580213.111696988 6570861.30624735,580213.863636251 6570861.14959334,580215.336183976 6570857.76586664,580214.427590698 6570857.67187425)))",162,NØ,Baglergaten 2/4,"289",,36,Sivile konstruksjoner,Vannhåndtering,3.94,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580212.732510543 6570870.63255964,580216.402042103 6570872.9177769,580219.478296105 6570867.79801131,580215.76481806 6570865.46884757,580212.732510543 6570870.63255964)))",163,NØ,Baglergaten 2/4,"143",,31,Sivile konstruksjoner,Bygning,26.04,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580217.390838032 6570871.48951611,580220.005653934 6570873.31878857,580222.708362807 6570870.02280215,580219.89578772 6570867.84745111,580217.390838032 6570871.48951611)))",164,NØ,Baglergaten 2/4,"217",,31,Sivile konstruksjoner,Bygning,14.64,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580219.094445463 6570874.98656362,580224.811958459 6570872.16310041,580222.788476494 6570870.11608959,580219.094445463 6570874.98656362)))",165,NØ,Baglergaten 2/4,"299",,14,Transport,Passasje,8.71,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580219.311732103 6570862.57910425,580222.577828242 6570865.38274431,580225.150240247 6570862.60800776,580221.768530084 6570859.60204317,580219.311732103 6570862.57910425)))",166,NØ,Baglergaten 2/4,"276",,31,Sivile konstruksjoner,Bygning,16.87,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580222.429697776 6570865.31771142,580221.027877751 6570864.33499222,580220.146320829 6570863.67021159,580219.423733187 6570863.13549674,580219.221408647 6570862.9042687,580219.163601637 6570862.73084765,580219.221408649 6570862.49961961,580219.33702267 6570862.34065033,580219.120246378 6570862.18168104,580218.97572885 6570862.39845735,580218.889018333 6570862.71639591,580219.033535862 6570863.04878621,580219.452636693 6570863.41008004,580220.464259391 6570864.16157119,580221.63485137 6570864.97086935,580222.285180248 6570865.44777719,580222.429697776 6570865.31771142)))",167,NØ,Baglergaten 2/4,"340",,32,Sivile konstruksjoner,Gjerde,0.97,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580226.479801507 6570870.03620872,580226.248573461 6570870.23853326,580226.797740069 6570870.90331388,580227.057871619 6570871.01892791,580227.751555755 6570870.4408578,580230.006029196 6570868.59103343,580231.942564076 6570867.17476165,580233.011993784 6570866.22094597,580233.248516517 6570866.05598293,580233.405859829 6570865.91074295,580233.472428154 6570865.80786464,580233.460324823 6570865.68683131,580233.34534317 6570865.43266136,580233.069800796 6570865.06480573,580230.650170903 6570861.58791546,580230.503144255 6570861.68593322,580232.867476255 6570865.20932327,580233.200103189 6570865.69893466,580233.000398215 6570865.87443297,580232.607344705 6570866.19204246,580231.364493962 6570867.23256866,580230.670809825 6570867.66612125,580229.630283624 6570868.53322642,580227.31800317 6570870.46976129,580227.144582136 6570870.58537532,580227.028968114 6570870.58537531,580226.479801507 6570870.03620872)))",168,NØ,Baglergaten 2/4,312/559,,32,Sivile konstruksjoner,Gjerde,3.8,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580227.9827838 6570864.60234965,580224.861205189 6570867.29037568,580227.664845238 6570870.18072625,580230.670809826 6570867.43489321,580227.9827838 6570864.60234965)))",169,NØ,Baglergaten 2/4,"324",,31,Sivile konstruksjoner,Bygning,16.24,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580230.853360534 6570867.5296199,580233.036643832 6570865.7384797,580230.387028179 6570861.78525316,580227.87519254 6570863.78836259,580230.853360534 6570867.5296199)))",170,NØ,Baglergaten 2/4,"313",,31,Sivile konstruksjoner,Bygning,14.38,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580218.402174909 6570854.97386933,580221.003490419 6570857.21389102,580223.388029636 6570854.75709303,580221.364784239 6570852.92172043,580218.402174909 6570854.97386933)))",171,NØ,Baglergaten 2/4,"303",,31,Sivile konstruksjoner,Bygning,10.67,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580221.701938004 6570857.28711907,580224.921424257 6570860.33715867,580225.163490891 6570860.09509204,580221.871384649 6570857.09346576,580221.701938004 6570857.28711907)))",172,NØ,Baglergaten 2/4,"250",,32,Sivile konstruksjoner,Gjerde,1.33,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580217.462762206 6570855.64712112,580218.340024679 6570856.41472578,580218.809986718 6570857.10400345,580221.768530084 6570859.60204317,580225.150240247 6570862.60800776,580225.295462866 6570862.93153273,580225.720244153 6570863.29037163,580226.034930779 6570863.19354498,580227.331965037 6570862.08560107,580230.277060486 6570860.17442211,580229.462459617 6570859.29715963,580227.676603867 6570861.05168457,580225.546109287 6570862.39890909,580224.950824036 6570862.11693187,580221.911736181 6570859.20316722,580218.93530993 6570856.5713798,580217.932724245 6570855.3338131,580217.462762206 6570855.64712112)))",173,NØ,Baglergaten 2/4,182/325,,36,Sivile konstruksjoner,Vannhåndtering,8.7,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580237.296867636 6570861.92706949,580239.952395439 6570859.96428807,580237.874156289 6570857.2510314,580234.833769382 6570859.15608396,580237.296867636 6570861.92706949)))",174,NØ,Baglergaten 2/4,"443",,31,Sivile konstruksjoner,Bygning,12.21,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580237.604754917 6570861.71539699,580237.854913334 6570862.17722791,580238.008856975 6570862.75451655,580238.355230166 6570863.52423477,580239.144191326 6570864.56335433,580239.355863833 6570864.46713956,580238.566902672 6570863.35104817,580238.22052948 6570862.67754473,580238.10507175 6570862.11949903,580237.777941513 6570861.54221038,580237.604754917 6570861.71539699)))",175,NØ,Baglergaten 2/4,"570",,32,Sivile konstruksjoner,Gjerde,0.81,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580238.162800616 6570857.52043277,580240.991515015 6570860.71476332,580242.819595749 6570858.13620734,580240.029367261 6570855.30749293,580238.162800616 6570857.52043277)))",176,NØ,Baglergaten 2/4,"512",,31,Sivile konstruksjoner,Bygning,12.3,0,0,1,0,0,0,"5",1200,1250,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580198.896825292 6570869.37937351,580200.614958487 6570870.7195174,580203.459130497 6570867.25681744,580201.793815514 6570866.0144396,580198.410318405 6570868.36702743,580198.896825292 6570869.37937351)))",177,NØ,Baglergaten 2/4,74B,,31,Sivile konstruksjoner,Bygning,11.77,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580211.68027094 6570875.04872066,580212.118902177 6570875.70666751,580212.902172242 6570875.14271306,580212.369548599 6570874.3907738,580211.68027094 6570875.04872066)))",178,NØ,Baglergaten 2/4,"19",,35,Sivile konstruksjoner,Brønn,0.82,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580208.907373302 6570865.87049095,580209.760026717 6570866.43410932,580210.395903842 6570865.53810065,580209.557702179 6570864.97448229,580208.907373302 6570865.87049095)))",179,NØ,Baglergaten 2/4,"25",,35,Sivile konstruksjoner,Brønn,1.12,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580209.441465409 6570864.86371607,580209.713298143 6570864.90553648,580209.964220668 6570864.27823018,580210.486975927 6570863.12816861,580210.967910764 6570862.24993978,580210.69607803 6570862.14538873,580210.256963613 6570862.98179713,580209.776028774 6570864.00639745,580209.441465409 6570864.86371607)))",180,NØ,Baglergaten 2/4,"187",,32,Sivile konstruksjoner,Gjerde,0.82,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580200.814391716 6570871.19596188,580201.551431111 6570872.05584117,580203.227834439 6570873.61663048,580204.383974665 6570874.85948122,580205.829149948 6570876.50698103,580206.754062129 6570877.66312127,580208.228140919 6570879.3684281,580208.835114537 6570880.23553327,580209.124149592 6570880.03320873,580208.34375494 6570878.96377902,580206.696255118 6570877.14285817,580205.308886847 6570875.46645483,580203.401255473 6570873.44320944,580200.886650482 6570871.10202547,580200.814391716 6570871.19596188)))",181,NØ,Baglergaten 2/4,"190",,32,Sivile konstruksjoner,Gjerde,3.33,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580236.516864404 6570847.25232557,580237.403699214 6570847.15378837,580237.469390681 6570846.36549077,580236.516864405 6570846.2997993,580236.516864404 6570847.25232557)))",182,NØ,Baglergaten 2/4,"475",,35,Sivile konstruksjoner,Brønn,0.8,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580238.093459622 6570862.55843748,580241.180958592 6570860.35777332,580238.224842557 6570857.13889142,580235.400109458 6570859.53662998,580238.093459622 6570862.55843748)))",183,NØ,Baglergaten 2/4,"441",,31,Sivile konstruksjoner,Bygning,15.73,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580230.867398207 6570862.26282587,580233.232291033 6570865.74447365,580233.248713901 6570865.58024498,580233.133753832 6570865.23536477,580230.867398207 6570862.26282587)))",184,NØ,Baglergaten 2/4,"559",,32,Sivile konstruksjoner,Gjerde,0.44,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580233.478634035 6570865.62951359,580232.558953491 6570866.38496545,580231.113741208 6570868.02725215,580230.621055201 6570868.74164685,580230.555363736 6570869.34108149,580232.788873627 6570868.15863508,580232.920256563 6570867.0090344,580232.985948031 6570866.41781119,580233.215868167 6570866.15504532,580233.380096834 6570865.99081666,580233.478634035 6570865.62951359)))",185,NØ,Baglergaten 2/4,"282",,33,Sivile konstruksjoner,Grøft,3.33,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580230.128369196 6570868.71701256,580233.150176697 6570865.76089652,580230.785283871 6570862.27924875,580226.909487292 6570865.56382212,580230.128369196 6570868.71701256)))",186,NØ,Baglergaten 2/4,"274",,31,Sivile konstruksjoner,Bygning,20.17,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580226.71241289 6570865.62951359,580223.394993785 6570868.81554976,580226.482492754 6570871.60743711,580229.569991723 6570868.51993814,580226.71241289 6570865.62951359)))",187,NØ,Baglergaten 2/4,"279",,31,Sivile konstruksjoner,Bygning,18.43,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
"MULTIPOLYGON (((580225.759886612 6570871.67312859,580226.055498217 6570871.57459138,580225.792732346 6570871.27897979,580225.004434737 6570870.45783644,580223.986216992 6570869.57100163,580223.460685252 6570869.11116135,580223.329302318 6570868.74985828,580223.460685252 6570868.45424668,580223.986216992 6570867.99440641,580224.577440199 6570867.60025761,580224.446057263 6570867.37033747,580223.493530985 6570868.02725215,580223.165073648 6570868.45424669,580223.033690714 6570868.81554976,580223.16507365 6570869.20969855,580223.493530986 6570869.57100163,580224.774514601 6570870.7206023,580225.759886612 6570871.67312859)))",188,NØ,Baglergaten 2/4,"211",,32,Sivile konstruksjoner,Gjerde,1.79,0,0,1,0,0,0,6A,1250,1300,,,,,,1981–1982,Riksantikvaren,893,TS,,C36399,"Brendalsmo, Jan. 1986. Innberetning over de arkeologiske utgravingene i Baglergaten 2–4, Tønsberg, 1981–81. Riksantikvaren."
